Monster	Prompt
Beholder	tPixArFK, pixel art, fantasy monster, Beholder, floating orb, single central eye, ten eyestalks, toothy maw, scaly hide, arcane glow, levitating, alien visage, radial symmetry
Mind flayer	tPixArFK, pixel art, fantasy monster, Mind flayer, octopus head, face tentacles, purple skin, blank white eyes, psionic aura, flowing robes, slender build, elongated fingers, eldritch styling
Lich	tPixArFK, pixel art, fantasy monster, Lich, skeletal face, glowing eyes, tattered robes, arcane sigils, bony hands, regal crown, ancient jewelry, necromantic aura
Tarrasque	tPixArFK, pixel art, fantasy monster, Tarrasque, colossal size, armored carapace, horned head, spiked back, massive claws, fang-filled maw, thick scales, dinosaurian build, towering stance
Kobold	tPixArFK, pixel art, fantasy monster, Kobold, small stature, reptilian snout, red-brown scales, batlike ears, beady eyes, scrappy gear, lanky limbs, whiplike tail
Owlbear	tPixArFK, pixel art, fantasy monster, Owlbear, bear body, owl head, hooked beak, feathered ruff, powerful claws, stocky frame, amber eyes, shaggy fur, hybrid anatomy
Mimic	tPixArFK, pixel art, fantasy monster, Mimic, wooden chest guise, gaping maw, slimy tongue, rows of teeth, adhesive surface, dripping saliva, ambush posture, morphing edges
Gelatinous cube	tPixArFK, pixel art, fantasy monster, Gelatinous cube, perfect cube, transparent jelly, suspended bones, glossy surface, acidic sheen, soft edges, empty core, ooze texture
Displacer beast	tPixArFK, pixel art, fantasy monster, Displacer beast, panther body, midnight fur, two shoulder tentacles, spiked pads, six legs look, shimmering outline, predatory stance, elongated form
Hydra	tPixArFK, pixel art, fantasy monster, Hydra, multiple heads, serpentine necks, emerald scales, gaping jaws, forked tongues, regrowth motif, massive body, coiling posture
Basilisk	tPixArFK, pixel art, fantasy monster, Basilisk, eight legs, stony scales, crown spines, petrifying gaze, heavy jaw, low stance, reptilian eyes, rough hide
Manticore	tPixArFK, pixel art, fantasy monster, Manticore, lion body, humanlike face, bat wings, barbed tail, spike quills, predatory grin, tufted mane, powerful paws
Gnoll	tPixArFK, pixel art, fantasy monster, Gnoll, hyena head, matted fur, lean muscle, yellow eyes, ragged armor, jagged teeth, slouched posture, crudely forged weapons
Banshee	tPixArFK, pixel art, fantasy monster, Banshee, translucent form, flowing hair, sunken eyes, open wail, torn shroud, pale glow, wispy edges, gaunt features
Vampire	tPixArFK, pixel art, fantasy monster, Vampire, pale skin, sharp fangs, red eyes, elegant attire, slicked hair, predatory poise, arched brows, shadowed cheekbones
Werewolf	tPixArFK, pixel art, fantasy monster, Werewolf, wolf muzzle, broad shoulders, furred body, clawed hands, digitigrade legs, glowing eyes, snarling mouth, tensed muscles
Zombie	tPixArFK, pixel art, fantasy monster, Zombie, rotting flesh, sunken eyes, torn clothes, exposed bone, ashen skin, slack jaw, stiff posture, dragging gait
Goblin	tPixArFK, pixel art, fantasy monster, Goblin, green skin, big ears, hooked nose, sharp teeth, beady eyes, patchwork armor, spindly limbs, mischievous grin
Orc	tPixArFK, pixel art, fantasy monster, Orc, gray-green skin, tusks, bulky frame, scarred face, heavy armor, red eyes, broad jaw, battle nicks
Troll	tPixArFK, pixel art, fantasy monster, Troll, elongated limbs, green rubbery skin, hooked nose, stringy hair, long claws, stooped stance, regenerative scars, gawky proportions
Giant	tPixArFK, pixel art, fantasy monster, Giant, towering height, massive hands, rough features, burlap garb, stone club, wide stance, shaggy hair, proportionate bulk
Djinn	tPixArFK, pixel art, fantasy monster, Djinn, blue vapor body, muscular chest, gold jewelry, pointed ears, smoky lower half, glowing eyes, curled mustache, regal posture
Efreeti	tPixArFK, pixel art, fantasy monster, Efreeti, red skin, flame hair, ember eyes, smoke trail, ornate bracers, charred texture, towering horns, heat shimmer
Succubus	tPixArFK, pixel art, fantasy monster, Succubus, crimson skin, bat wings, curved horns, barbed tail, alluring pose, sleek silhouette, clawed hands, mesmerizing eyes
