JudgeCode,112233,,,,,,
Category,Value,Clue,Answer,MediaType,MediaURL,DailyDouble
CORE CONCEPTS,200,The variable that is manipulated or changed by the researcher to observe its effect on another variable.,"What is the Independent Variable?",text,,No
CORE CONCEPTS,400,The process of assigning participants to different experimental groups in a way that each participant has an equal chance of being in any group.,"What is Randomization (or Random Assignment)?",text,,No
CORE CONCEPTS,600,The variable that is measured by the researcher to see if it is affected by the independent variable.,"What is the Dependent Variable?",text,,No
CORE CONCEPTS,800,"In an experiment, this is the group that does not receive the experimental treatment and is used as a benchmark.","What is the Control Group?",text,,No
CORE CONCEPTS,1000,A testable statement about the relationship between two or more variables.,"What is a Hypothesis?",text,,No
VALIDITY THREATS,200,"The extent to which the results of a study can be generalized to other situations, people, or times.","What is External Validity?",text,,No
VALIDITY THREATS,400,"The degree to which an experiment is free from flaws, ensuring that the independent variable caused the observed effect.","What is Internal Validity?",text,,No
VALIDITY THREATS,600,"The phenomenon where participants alter their behavior simply because they know they are being observed.","What is the Hawthorne Effect?",text,,No
VALIDITY THREATS,800,"A threat to internal validity where natural changes in the participants over time (e.g., growing older, getting tired) could affect the results.","What is Maturation?",text,,Yes
VALIDITY THREATS,1000,"A threat to internal validity where an external event occurs during the experiment that could influence the dependent variable.","What is a History Effect?",text,,No
TYPES OF DESIGNS,200,"A simple experiment where two versions (A and B) of a single variable are compared, commonly used for websites and ads.","What is an A/B Test?",text,,No
TYPES OF DESIGNS,400,"In this design, different groups of participants are exposed to different experimental conditions.","What is a Between-Subjects Design?",text,,No
TYPES OF DESIGNS,600,"In this design, the same group of participants is exposed to all of the different experimental conditions.","What is a Within-Subjects (or Repeated Measures) Design?",text,,No
TYPES OF DESIGNS,800,"An experiment that lacks random assignment to treatment groups, often used when randomization is not feasible.","What is a Quasi-Experiment?",text,,No
TYPES OF DESIGNS,1000,"A design that studies two or more independent variables simultaneously, allowing for the examination of their interaction effects.","What is a Factorial Design?",text,,No
MEASUREMENT,200,"The consistency or repeatability of a measure; if you measure the same thing multiple times, you get a similar result.","What is Reliability?",text,,No
MEASUREMENT,400,"The extent to_which a measure accurately captures the concept it is intended to measure.","What is Validity (of a measure)?",text,,No
MEASUREMENT,600,"A scale that asks respondents to rate their agreement with a statement, typically on a 5 or 7-point scale.","What is a Likert Scale?",text,,No
MEASUREMENT,800,"An abstract idea or concept being studied, such as 'brand loyalty' or 'customer satisfaction'.","What is a Construct?",text,,No
MEASUREMENT,1000,"A scale that measures attitudes by asking respondents to rate a concept on a series of bipolar adjective pairs, like 'Good-Bad' or 'Modern-Traditional'.","What is a Semantic Differential Scale?",text,,No
STATISTICAL TESTS,200,This test is used to determine if there is a significant difference between the means of two groups.,"What is a T-Test?",text,,No
STATISTICAL TESTS,400,"This test, an acronym for Analysis of Variance, is used to compare the means of three or more groups.","What is ANOVA?",text,,No
STATISTICAL TESTS,600,"In hypothesis testing, this is the probability of obtaining results at least as extreme as the observed results, assuming the null hypothesis is true.","What is the p-value?",text,,No
STATISTICAL TESTS,800,"This type of error occurs when a researcher incorrectly rejects a true null hypothesis (a 'false positive').","What is a Type I Error?",text,,No
STATISTICAL TESTS,1000,"This statistical test is used to determine if there is a significant association between two categorical variables.","What is a Chi-Square Test?",text,,No
